task_id,executor,time_ms,status,task_type,size,priority,started_at,completed_at
7fDW-63EpT1ZAktrahG6z,cpu,9.07,completed,vector_add,1024,3,2026-04-02T11:14:08.579Z,2026-04-02T11:14:08.588Z
ALRYM62ePeNDf9rAXTK7_,cpu,9.07,completed,vector_add,1024,3,2026-04-02T11:14:10.600Z,2026-04-02T11:14:10.611Z
S4dUUJmExFLM0uU3_Zni6,cpu,34.72,completed,matrix_multiply,1036,3,2026-04-02T11:14:21.320Z,2026-04-02T11:14:21.356Z
CJoquI7uSC0a4aEJAayUE,gpu,18.22,completed,matrix_multiply,1036,4,2026-04-02T11:14:30.344Z,2026-04-02T11:14:30.363Z
EvMeW33s_PTSwt_A3ruxc,cpu,6.77,completed,vector_add,256,2,2026-04-02T11:14:32.239Z,2026-04-02T11:14:32.248Z
mlnWnQiWD45MTrzU6qnLt,cpu,12.14,completed,vector_add,2048,1,2026-04-02T11:14:32.242Z,2026-04-02T11:14:32.256Z
IvG47MYemtyiVTFklIjp2,gpu,36.58,completed,matrix_multiply,4096,3,2026-04-02T11:14:32.244Z,2026-04-02T11:14:32.281Z
oqAJaPWJ9vv9TKJoS47b7,gpu,110.30,completed,matrix_multiply,16384,2,2026-04-02T11:14:32.255Z,2026-04-02T11:14:32.368Z
2YO2IZRAi0iuPLdQVZ9h_,cpu,6.77,completed,vector_add,256,2,2026-04-02T11:15:33.430Z,2026-04-02T11:15:33.436Z
qf4Uvh5C8lgMSDjr7vGw6,cpu,12.14,completed,vector_add,2048,1,2026-04-02T11:15:33.431Z,2026-04-02T11:15:33.444Z
8v1eE1SObWH46_cZ4sTNv,gpu,36.58,completed,matrix_multiply,4096,3,2026-04-02T11:15:33.436Z,2026-04-02T11:15:33.473Z
9LfBJdAGkUq-ZlUgfauss,gpu,110.30,completed,matrix_multiply,16384,2,2026-04-02T11:15:33.444Z,2026-04-02T11:15:33.555Z
